Date,Details,Beach Name/Location,Organization,Items,Volunteer Hours,Weight
03/16/2018,Recap,North Myrtle Beach,Individual (1109),13,0.5,0.37
03/15/2018,Recap,Hilton Head Island,Individual (1118),51,0.5,2.04
03/14/2018,Recap,Hilton Head Island,Individual (1118),25,0.25,1.46
03/12/2018,Recap,Hilton Head Island,Individual (1118),183,1.25,5.66
03/11/2018,Recap,Hilton Head Island,Individual (1118),27,0.5,5.14
03/10/2018,Recap,Hilton Head Island,Individual (1118),67,1.25,1.33
03/09/2018,Recap,Hilton Head Island,Individual (1118),6,0.25,0.17
03/09/2018,Recap,Myrtle Beach,Individual (1126),211,2,4.76
03/07/2018,Recap,Hilton Head Island,Individual (1118),32,0.5,1.91
03/06/2018,Recap,Hilton Head Island,Individual (1118),211,1,5.91
03/05/2018,Recap,Hilton Head Island,Individual (1118),120,1.5,3.24
03/03/2018,Recap,Hilton Head Island,Individual (1118),19,0.5,0.15
03/02/2018,Recap,Hilton Head Island,Individual (1118),28,0.5,0.53
03/01/2018,Recap,Hilton Head Island,Individual (1118),21,0.5,0.45
02/28/2018,Recap,Hilton Head Island,1712,80,0.5,7.45
02/28/2018,Recap,Hilton Head Island,Individual (1118),412,10.75,8.18
02/27/2018,Recap,Hilton Head Island,Individual (1118),88,0.5,5.39
02/26/2018,Recap,Hilton Head Island,Individual (1118),480,8.75,30.79
02/25/2018,Recap,Hilton Head Island,Individual (1118),230,1.75,15.66
02/24/2018,Recap,Daufuskie Island,Individual (1258),91,0.25,5.26
02/24/2018,Recap,Hilton Head Island,Individual (1118),110,2,3.81
02/24/2018,Recap,Myrtle Beach,1728,1013,13.5,22.41
02/24/2018,Recap,North Myrtle Beach,Individual (1314),55,0.5,0.94
02/23/2018,Recap,Hilton Head Island,Individual (1118),95,0.75,3.94
02/22/2018,Recap,Hilton Head Island,Individual (1118),52,0.75,10.37
02/22/2018,Recap,Windy Hill Beach,Individual (1208),16,1,1.29
02/21/2018,Recap,Hilton Head Island,Individual (1118),26,1.75,1.75
02/20/2018,Recap,Hilton Head Island,Individual (1118),75,1,5.48
02/19/2018,Recap,Hilton Head Island,Individual (1118),112,1.25,3.19
02/18/2018,Recap,Hilton Head Island,Individual (1118),95,1.75,5.96
02/17/2018,Recap,Hilton Head Island,Individual (1118),80,8.75,4.21
02/16/2018,Recap,Hilton Head Island,Individual (1118),13,0.5,2.46
02/15/2018,Recap,Hilton Head Island,Individual (1118),41,0.75,1.91
02/14/2018,Recap,Hilton Head Island,Individual (1118),108,1.25,2.04
02/09/2018,Recap,North Myrtle Beach,Individual (1109),16,0.5,0.35
02/07/2018,Recap,Hilton Head Island,1889,366,75,13.07
02/04/2018,Recap,Hilton Head Island,Individual (1118),89,0.75,2.61
02/03/2018,Recap,Hilton Head Island,Individual (1118),7,0.25,0.21
02/02/2018,Recap,Hilton Head Island,Individual (1118),67,0.75,1.43
01/31/2018,Recap,Hilton Head Island,Individual (1118),17,0.25,1.08
01/30/2018,Recap,Hilton Head Island,Individual (1118),16,0.25,0.25
01/28/2018,Recap,Hilton Head Island,Individual (1118),114,0.75,2.9
01/27/2018,Recap,Myrtle Beach,1728,153,0.75,14.76
01/24/2018,Recap,Hilton Head Island,Individual (1118),15,0.75,1.18
01/22/2018,Recap,Hilton Head Island,Individual (1118),14,0.5,0.98
01/21/2018,Recap,Hilton Head Island,Individual (1118),26,0.75,0.27
01/20/2018,Recap,Hilton Head Island,Individual (1118),28,1,1.42
01/17/2018,Recap,Hilton Head Island,Individual (1118),82,0.75,3.99
01/15/2018,Recap,Hilton Head Island,Individual (1118),11,0.25,0.23
01/14/2018,Recap,Hilton Head Island,Individual (1118),9,0.25,0.04
01/13/2018,Recap,Hilton Head Island,Individual (1118),10,0.25,1.06
01/12/2018,Recap,Hilton Head Island,Individual (1118),38,0.5,0.82
01/11/2018,Recap,Hilton Head Island,Individual (1118),141,2,3.8
01/11/2018,Recap,Surfside Beach,Individual (1298),5,0.25,0.1
01/10/2018,Recap,Hilton Head Island,Individual (1118),33,0.25,0.31
01/10/2018,Recap,Surfside Beach,Individual (1298),3,0.5,0.05
01/01/2018,Recap,Hilton Head Island,Individual (1118),59,0.75,2.1
